D.G. Bradman
L. Hutton
J.B. Hobbs
R.T. Ponting
P.B.H. May
S.P.D. Smith
C.L. Walcott
I.V.A. Richards
K.C. Sangakkara
G.S. Sobers
A.B. de Villiers
M.L. Hayden
J.H. Kallis
 Mohammad Yousuf
E.D. Weekes
R.G. Pollock
A.D. Nourse
K.D. Walters
R.N. Harvey
M.E.K. Hussey
D.C.S. Compton
J.E. Root
S.M. Gavaskar
G.A. Headley
K.F. Barrington
B.C. Lara
K.P. Pietersen
H.M. Amla
S. Chanderpaul
M.J. Clarke
S.R. Tendulkar
W.R. Hammond
V. Kohli
A. Flower
S.R. Waugh
K.S. Williamson
R. Dravid
C.C. McDonald
H. Sutcliffe
C.A. Pujara
C. Hill
G. Gambhir
 Javed Miandad
D.P.M.D. Jayawardena
G.S. Chappell
D.A. Warner
 Younus Khan
W.M. Lawry
A.D. Mathews
G.A. Faulkner
A.R. Border
R.B. Richardson
M.P. Vaughan
R.B. Kanhai
A.C. Gilchrist
A.N. Cook
M.C. Cowdrey
G.A. Gooch
G.R. Viswanath
L.R.P.L. Taylor
E.R. Dexter
 Inzamam-ul-Haq
V.S. Hazare
A.I. Kallicharran
V. Sehwag
I.J.L. Trott
A.L. Hassett
S.J. McCabe
R.B. Simpson
A.R. Morris
D.R. Martyn
G.M. Turner
C.G. Greenidge
H.W. Taylor
G.C. Smith
 Misbah-ul-Haq
D.B. Vengsarkar
K.J. Hughes
F.M.M. Worrell
D.L. Amiss
A.M. Rahane
H.H. Gibbs
 Saeed Anwar
A.C. Voges
C.C. Hunte
I.R. Bell
D.I. Gower
W.M. Woodfull
 Hanif Mohammad
M.E. Trescothick
C.H. Lloyd
R.M. Cowper
J.C. Adams
I.T. Botham
I.M. Chappell
R.A. Smith
J.B. Stollmeyer
S.M. Katich
G.P. Howarth
 Zaheer Abbas
